CRE	Name	OrigGold	NewGold
graeme	Graeme	140	105
grean	Greandal	2888	2166
greendrg	Andaxll'layah	3810	2856
gregdemi	Gregorraxx	673	504
grimsto	Anamuns	10	6
gromg01	Il-Khan Soldier	20	15
gromg02	Il-Khan Soldier	20	15
gromg04	Il-Khan Soldier	10	6
gromg06	Il-Khan Soldier	20	15
gromg07	Il-Khan Soldier	20	15
gromg09	Eler Had	10	6
gromg10	Berena Elkan	10	6
gromg12	Il-Khan Soldier	10	6
gromg14	Il-Khan Soldier	20	15
grommin	Halbazzer Drin	200	150
gromnir	Gromnir Il-Khan	1200	900
gron	Theshal	53	39
guard1	Bouncer	40	30
guard3	Copper Coronet Guard	60	45
guasold1	Soldier	12	9
guasold2	Soldier	12	9
guasold3	Soldier	12	9
guasold4	Soldier	12	9
habrega	Chief Inspector Brega	9	6
hacton	Acton Balthis	120	90
hactong	Amnish Bodyguard	5	3
haegan	Captain Haegan	310	231
haffg2	Mabledale	10	6
haguar01	Arresting Officer	9	6
haguar02	Arresting Soldier	9	6
halfen	Halfling Enforcer	10	6
hdragred	Dragon	100	75
hdragsil	Dragon	100	75
hedan	Hedan	18	12
helmkni1	Shield Knight	25	18
hendak	Hendak	87	63
henman	Henman	6	3
henvis	Henvis	26	18
hephas	Hephaestus	2580	1935
hephas2	Hephaestus	2580	1935
hgkar01	Karthis al-Hezzar	254	189
hgmag01	Fire Giant Mage	40	30
hgmag02	Fire Giant Mage	40	30
hgsal01	Fire Salamander	10	6
hgwar01	Fire Giant	20	15
hgwar02	Elite Fire Giant	100	75
hkensaf	Hashimoto Guard	3500	2625
hkensai	Hashimoto Guard	3500	2625
hlassa	Assassin	18	12
hlkoshi	Koshi	120	90
hllayen	Layene	25	18
hlrevan	Revanek	13	9
hlshang	Shangalar	3890	2916
hlsion	Sion	75	54
hlstal	Stalman	20	15
hobeli01	Hobgoblin Elite	5	3
hobgo2	Hobgoblin	100	75
hobgo3	Hobgoblin	100	75
hobgo4	Hobgoblin	100	75
hobgo6	Hobgoblin	100	75
homeless	Homeless Woman	4	3
horace	Horace	100	75
horred	Horred the Plague	666	498
horsesal	Trader	45	33
hurgisf	Hurgis Baltezan	10	6
hurgisr	Hurgis Baltezan	10	6
icebeard	Thorin Icebeard	55	39
idemon01	Cambion	1463	1095
idemon02	Cambion	1463	1095
ilhan	Ilhan	360	270
ilhan2	Ilhan	360	270
ilhan3	Ilhan	360	270
illasera	Illasera	500	375
impbod2	Manasseh	25	18
innkpr	Quimby	16	12
inspect	Lieutenant Aegisfield	5	3
iogremag	Ogre Mage	20	15
irlana	Lady Irlana	67	48
ishadft1	Assassin	36	27
ishadmt1	Assassin	79	57
ishadth1	Assassin	36	27
iwddrg1	Mandegora	3455	2589
iwddrg2	Hequistus	2838	2127
iwddrg3	Grizidamonn'yt	1345	1008
iwddrg4	Gangollayah	2665	1998
iwddrg5	The Great One	5834	4374
iwddrg6	Mandegora	3455	2589
iwddrg7	Hequistus	2838	2127
iwddrg8	Grizidamonn'yt	1345	1008
iwdorc1	Orc	5	3
iwdorc4	Orc Shaman	4	3
iwdorc5	Ochtyg	18	12
j#aoedw2	Dwarf	17	12
j#aoedwa	Fwippy	63	45
j#im8to2	Torturer	7	3
j#im8tor	Torturer	7	3
j#indi01	Indira	24	18
j#indi03	Indira	72	54
j#indi04	Indira	72	54
j#pirat1	Old Man	1200	900
jade2	Thenry	67	48
jadermin	Dermin Courtierdale	55	39
jaerto1	Jarden	67	48
jaerto2	Turg	67	48
jaerto4	Wurn	67	48
jaertof	Ertof Dand	67	48
jaga2	Kail	67	48
jaga3	Nadinal	10	6
jaga4	Iko	55	39
jagalvar	Galvarey	670	501
jahaboam	Jahaboam	5	3
jahei2	Harper	67	48
jaheird	Jaheira	6	3
jamage1	Gracien	20	15
jamage2	Malacazar	30	21
jameroni	Meronia	55	39
jangit01	Githyanki	98	72
jangit02	Githyanki	100	75
janos	Janos	20	15
jarev2	Harper	67	48
jarevia	Reviane	67	48
jarlax_r	Jarlaxle	4500	3375
jarlaxs	Jarlaxle	4500	3375
jatermin	Terminsel	100	75
javin	Javin	100	75
jayes	Jayes	38	27
jhonen	Jhonen	26	18
jinna	Jinna	12	9
jugjer01	Jermien	4000	3000
jzmaria	Lady Maria	13	9
jzseb	Sebastian	50	36
jzseif	Steve	50	36
jztrawl	Sir Ryan Trawl	67	48
k#firmag	Conster	25	18
k#orc	Orog	5	3
kagain11	Kagain	69	51
kalah	Kalah	24	18
kalah2	Kalah	724	543
kalvassa	Kalvassa	769	576
kamir	Kamir	2500	1875
kayl1	Sir Ryan Trawl	67	48
kayl2	Sir Ryan Trawl	67	48
kaypal01	Anarg	100	75
kessen	Kessen	15	9
khelb01	Khelben	20	15
khelb02	Khelben	20	15
kindai	Kindail	24	18
king	King	102	75
kiyone	Kiyone	200	150
kjobo	Kjobo Pansyflake	26	18
korgoo01	Goon	100	75
korgoo02	Goon	100	75
korpim	Pimlico	20	15
korpimg1	Pimlico Guard	9	6
korscroo	Scrooloose	200	150
korshag	Shagbag	250	186
kpcapt01	Captain Arat	20	15
kpcapt02	Captain Cernick	25	18
kpcapt03	Captain Cernick	25	18
kpchap01	Bolumir	15	9
kpglai01	Glaicus	200	150
kpglai04	Gorvin	76	57
kpgrd01	Lastin	15	9
kproen01	Lord Roenall	50	36
krdrgbrn	Brown Dragon	19000	14250
krdwarf	Dwarf	600	450
krgnome	Illusionist	600	450
kuorc	Orog	5	3
kylie	Kylie Jansen	43	30
kylie1	Kylie Jansen	43	30
lando	Lando	12	9
latkni01	Morning Knight	25	18
latkni02	Morning Knight	25	18
le#aimil	Aimilíona Goldmantle	65	48
le#shop	Shopkeeper	65	48
leader1	Leader	24	18
leader2	Leader	36	27
legdor	Legdoril	15	9
lehtin	Lehtinan	1287	963
lellyn	Lellyn	39	27
leona	Leona	45	33
lichguar	Guardian Lich	322	240
lissa	Lissa	24	18
lk#iylos	Iylos	260	195
lk#xlar	Matron Mother Larace	3500	2625
llynis	Llynis	39	27
loutcapt	Captain Dennis	280	210
loutm03	Mercenary of Riatvin	200	150
loveone5	Merella	4872	3654
loveone6	Darriel	55	39
lrrielev	Velemir Rielev	1000	750
lryugol	Garrish	2000	1500
ltalos	Drunken Cleric of Talos	13	9
lulu	Lulu Hashimoto	45	33
lyros	Xzar	907	678
lysan	Lysan	553	414
m#corin	Captain Corin	31	21
m#edtg	Ed	13	9
m#lorr10	Lorraine	120	90
m#lorr13	Lorraine	120	90
m#lorr17	Lorraine	120	90
m#maxtg	Max	13	9
m#nicktg	Nick	13	9
m#prisg1	Prison Guard	13	9
m#prisg2	Prison Guard	13	9
m#ruad	Ruad	2000	1500
m#timi15	Timalia	40	30
m#ycmcm1	Ymmyrt's Captain	50	36
m#ygcook	Cook	4	3
m#ymm12	Ymmyrt	68	51
m#ymm16	Ymmyrt	78	57
m#ymm19	Ymmyrt	97	72
madurc01	Duergar Cleric	100	75
madurc02	Duergar Cleric	100	75
madurf01	Gorken Bloodaxe	107	78
madurf02	Duergar Fighter	107	78
madurt01	Duergar Thief	37	27
maeguy02	Thief	39	27
maenc04	Brotus Bloodthirsty	100	75
maevar	Mae'Var	769	576
mage14b	Zyntris	25	18
mage14c	Zyntris	25	18
mage14m	Zyntris	25	18
mage16b	Zyntris	25	18
mage16c	Cowled Wizard	25	18
mage16m	Zyntris	25	18
mage18a	Cowled Wizard	25	18
mage18b	Zyntris	25	18
mage18c	Zyntris	25	18
mage18e	Zyntris	25	18
mage18y	Zyntris	25	18
mage18z	Zallanora	524	393
magvamp	Vampiric Mage	300	225
majan	Ma Jansen	24	18
malar19	Zatac	1228	921
malar2	Yv	344	258
maria	Lady Maria	13	9
masaki	Masaki Hayashi	204	153
masal01	Sailor Willi D Fain	130	96
masal02	Sailor Wally G Hrey	50	36
mathoren	Thorengrim Hammerfist	69	51
mazzy11	Mazzy	45	33
mazzy12	Mazzy	45	33
mazzy15	Mazzy	45	33
mazzy8	Mazzy	45	33
mazzy9	Mazzy	45	33
mcapt01	Knight of the Order	20	15
mcapvil	Captive Villager	26	18
mdindal	Dindal	20	15
mdsdwarf	Bob	125	93
mekrat	Mekrath	25	18
memnis	Meym	25	18
merinia	Meronia	127	93
merlin	Elminster	100	75
meronia	Meronia	55	39
metbae	Baenwuld	20	15
metbae2	Baenwuld	20	15
mgbill01	William 'Bill' Williamson	25	18
mgcwe00	Cowled Enforcer	25	18
mgshdrgn	Thaxll'ssillyia	3200	2400
mgteos01	Teos	25	18
michio	Michio Nakanishi	204	153
minsc4	Minsc	4	3
mirlanda	Mirlanda	22	15
mirriam	Mirriam	11	6
mkern	Kern	20	15
molly2	Molly	12	9
montar13	Montaron	33	24
mook	Mook	11	6
mook02	Mook	11	6
mtowfr_d	Peasant	8	6
mtown1	Peasant	11	6
mtown4	Peasant	4	3
mugger1	Shady Character	11	6
mugger2	Shady Character	11	6
mugger3	Shady Character	16	12
mugger4	Ogre	5	3
murdbegg	Rampah	11	6
murdgirl	Rose Bouquet	33	24
murtlen	Murtlen	4	3
mvguard1	Assassin	32	24
mvguard2	Assassin	48	36
mvpries	Priest of Cyric	20	15
mvpries2	Priest of Cyric	20	15
mwbohu1	Mercenary	18	12
mwbohu2	Mercenary	21	15
mwbohu3	Mercenary	16	12
mwbohu4	Mercenary	16	12
mwbohu5	Mercenary	28	21
mwbohul	Bounty Hunter	101	75
mwbohum	Mercenary Mage	69	51
mwdolf	Dolf	20	15
myband1	Trained Bandit	17	12
naldead	Nalia	45	33
nalia10	Nalia	45	33
nalia11	Nalia	45	33
nalia13	Nalia	45	33
nalia15	Nalia	45	33
nalia18	Nalia	45	33
nalia8	Nalia	45	33
nanny	Nanny	13	9
natalk9	Natalka	278	207
ncdm	Noble	6	3
ncdm2	Noble	8	6
ncdw	Noble	7	3
ncdw2	Noble	5	3
neb	Neb	30	21
nech	Nech	6	3
nmonk	Nakanishi Acolyte	25	18
nobl11	Nobleman	10	6
nobl4	Thurston	20	15
noble2	Nobleman	50	36
noblem1	Nobleman	14	9
noblem2	Nobleman	24	18
noblem3	Lord Ophal	82	60
noblew1	Noblewoman	13	9
noblew2	Noblewoman	13	9
noblew3	Lady Ophal	50	36
nscamb01	Cambion	146	108
nscleric	Priest of Tyr	9	6
nscom002	Shady Hive Character	40	30
nscom004	Drow Commoner	70	51
nsdragon	Khalabaxin	1000	750
nsflower	Hana	4	3
nsharl01	Harlot	20	15
nsmage01	Young Mage	102	75
nsprey01	Lord Reginald	14	9
nsprey02	Kenny	11	6
nstief01	Tiefling	60	45
nstief02	Tiefling	80	60
ntamelka	Amelka	67	48
ntaschma	Brother Aschmaan	102	75
ntaureli	Aurelinus	8	6
ntavery	Avery	10	6
ntbalen	Balen	49	36
ntblhcu1	Black Hand Cultist	5	3
ntblhcul	Black Hand Cultist	5	3
ntbrent1	Brentaw	5	3
ntbrenta	Brentaw	5	3
ntcholga	Cholga	94	69
ntdraagi	Brother Draagis	102	75
nthaebal	Haeball	102	75
nthasdar	Brother Hasdar	102	75
nthells1	Fire Salamander	10	6
nthells2	Humbaba	10	6
nthellsa	Oogoor	10	6
ntkeelor	Keelor	38	27
ntkoldar	Koldar	12	9
ntkresti	Krestian	12	9
ntkrotan	Krotan	22	15
ntlenore	Lenore	36	27
ntllinde	Llindelin	55	39
ntmariel	Mariel	98	72
ntnimfur	Nim Furlwing	68	51
ntogremu	Mommy	95	69
ntordol	Ordolath	100	75
ntpandri	Pandris	400	300
ntpilar	Pilar	95	69
ntpique	Pique	32	24
ntrededg	Rededge	39	27
ntreedri	Reedrig	102	75
ntsarq	Sar'garin Ve'xelt	81	60
ntsatos	Satos	78	57
ntsatos1	Satos	78	57
ntselani	Sellanio	25	18
ntshaell	Shaella	65	48
ntshelto	Shelton	23	15
ntshiloc	Shilo Chen	18	12
ntsvlast	Svlast	50	36
ntszyper	Skipper	100	75
nttytus	Tytus	56	42
ntwill2	Will Scarlet O'Hara	11	6
ntwill4	Will Scarlet O'Hara	11	6
ntwill6	Will Scarlet O'Hara	11	6
ntyness	Yness	163	120
o!tal	Taluntain	25000	18750
o#aegnor	Aegnor	64	48
o#arudin	Arudin	154	114
o#azag	Azag	28	21
o#crdat	Inspector Daton	5	3
o#crfein	Fein	14	9
o#crgu31	Amnish Guard	10	6
o#crgu32	Amnish Guard	10	6
o#crgu71	Mercenery	25	18
o#crkern	Kern	65	48
o#crlah	Lahar Feenick	14	9
o#crlah1	Feenick's Bodyguard	25	18
o#crlah3	Feenick's Bodyguard	25	18
o#crnev	Nevier Costa	514	384
o#crqyr	Qyr	55	39
o#crsoph	Lady Sofia	50	36
o#damir	Lord Damir	14	9
o#drowm	Xynolin	971	726
o#dur	Dur	114	84
o#eligor	Eligor	30	21
o#ganel	Ganelon	542	405
o#gewen	Captain Gewen	10	6
o#hiel	Hiel	7	3
o#khagg	Khaggoth	5	3
o#khalid	Khalid	1680	1260
o#lynn	Lynn	1370	1026
o#mac	Mac	41	30
o#quagis	Quagis	14	9
o#rand	Captain Randall	45	33
o#smug	Fren	48	36
o#thadd	Lord Thaddeus Leoncourt	14	9
obshal05	Kayardi	25	18
oenmage1	Mage	5	3
oenmage3	Battle Mage	4	3
ogrmag01	Ogre Mage	43	30
oldjed	Old Jed	6	3
olmar	Chieftain Olmar	240	180
olmar2	Chieftain Olmar	240	180
olmar3	Chieftain Olmar	240	180
olmar4	Chieftain Olmar	240	180
olmar5	Chieftain Olmar	240	180
olmmage	Mage	7	3
olmmage2	Mage	5	3
orc01	Orc	5	3
orc05	Orog	5	3
orc06	Orog	5	3
orc07	Orog Leader	370	276
orc10	Orc	5	3
orcsum	Orc	5	3
orrick	Orrick the Grey	75	54
oswald	Oswald Fiddlebender	43	30
otako	Otako Hashimoto	45	33
p#kivan	Kivan	100	75
p#lilco	Lilarcor	45	33
p#shong	Petyr	40	30
pace	Pace	21	15
pashtrav	Pasha Khazun	14	9
pbhunt03	Bounty Hunter	25	18
pelanna	Pelanna	10	6
peony	Peony	13	9
pettin	Ettin	100	75
pgcrowda	Peasant	11	6
pgcrowdd	Peasant	4	3
pggroupi	Germione and Poppy	45	33
pgjoules	Sir Joules	100	75
pglyrica	Lyrica	13	9
pgstacy	Stacy	65	48
pgtewes	Tewes	4	3
phlydia	Phlydia	45	33
pibble	Pibble	5	3
pibble2	Pibble	5	3
pircor03	Courtesan	10	6
pirfsh01	Fisherman	5	3
pirfsh02	Fishwife	5	3
pirmur02	Assassin	39	27
pirmur07	Vadek	25	18
pirmur09	Golin	22	15
pirpir05	Chremy	112	84
pkagal	Agal	42	30
pkagalb	Agal	42	30
pkchat1	Ranas	42	30
pkchat2	Sorgeir	42	30
pkchat3	Hladvar	42	30
pkdead1a	Finion	42	30
pkfatty1	Branthor	45	33
pkfatty2	Dindil	45	33
pkfatxy2	Dindil	45	33
pkgard1	Horkvar	42	30
pkgard2	Guard	42	30
pkhohom1	Kroldhir	42	30
pkhohom2	Fjord	42	30
pkhohom3	Bjodlaug	42	30
pkmarcus	Marcus	42	30
pkmess	Rane	42	30
pkmess2	Rane	42	30
pkorfa	Orfa	42	30
pkstore1	Deneron	45	33
pkstore2	Carval	45	33
pktent1	Kiran	42	30
pktent2	Tharam	42	30
pktent3	Ralban	42	30
pktent4	Rungad	42	30
pktent5	Karnas	42	30
plass01	Assassin	10	6
plass04	Assassin	7	3
plmetw01	Sorcerous Amin	12	9
plshfg01	Ettin	100	75
plshfg02	Ettin	100	75
plshhg01	Hobgoblin Slayer	34	24
plshkn01	Knight of the Order	67	48
plshkn02	Knight of the Order	67	48
pomab	Pomab	58	42
pparan	Aran Linvail	142	105
pparan2	Aran Linvail	142	105
ppgith	Githyanki Captain	98	72
ppldr01	Pirate Leader	100	75
ppsail01	Pirate	40	30
ppsail02	Pirate	45	33
ppsail03	Pirate	30	21
ppsail04	Pirate	45	33
ppthf01	Pirate	45	33
ppthf02	Pirate	45	33
prengoon	Prenash's Soldier	10	6
presio	Presio	25	18
pressapp	Presio‘s Apprentice	25	18
prisong1	Prison Guard	13	9
prisong2	Prison Guard	17	12
prisonk1	Prison Keeper	26	18
prophelm	Shield Knight	25	18
proplat	Morning Knight	25	18
psadv01	Adventurer	200	150
psadv02	Adventurer	460	345
psadv03	Adventurer	150	111
psadv04	Adventurer	140	105
psadv05	Adventurer	140	105
psadv06	Plane-traveling Adventurer	200	150
psadv07	Plane-traveling Adventurer	140	105
psadv08	Plane-traveling Adventurer	140	105
psbelle	Belle	100	75
psdego	Degrodel	5000	3750
psdem01	Demon	1000	750
psdem02	Demon	1000	750
psdem03	Demon	1000	750
psdemi	Demilich	8900	6675
psdmad01	Pompous Adventurer	200	150
psdmad02	Pompous Adventurer's Sidekick	460	345
psdmad03	Pompous Adventurer's Sidekick	460	345
pselmin	Elminster	100	75
psfanat1	Fanatic	200	150
psfanat2	Fanatic	200	150
psfanat3	Fanatic	200	150
psfanat4	Fanatic	200	150
psfanat5	Fanatic	200	150
psgith1	Githyanki	98	72
psgith2	Githyanki	98	72
psgithca	Githyanki Captain	98	72
pshag	Night Hag	1000	750
psinch	Inchantra	200	150
psinfer	Inferno	5000	3750
pslady	Lady of Pain	1000000	750000
pslordao	Lord Ao	20	15
psminvo	Invocation	5000	3750
pspain	Pain Elemental	100	75
pspnight	Planar Knight	600	450
psport01	Planar Portal	4	3
psport02	Portal	4	3
psport03	Prime Material Portal	4	3
pspport	Prison Portal	4	3
psqhosu	Hobgoblin Elite	5	3
psredw2	Red Wizard	2000	1500
psredwiz	Red Wizard	100	75
psthal	Thalantyr	500	375
pstrait	Cowled Wizard	500	375
psvortel	Vortel	1000	750
psweil	Wielter	450	336
pwarden	Warden	2577	1932
qcirc01	Circus Worker	10	6
qcirc02	Circus Worker	14	9
qloot2	Makan	30	21
quatar	Quataris	39	27
quayle	Quayle	24	18
quaylem	Quayle	24	18
queen	Queen	102	75
questm	QuestM	10000	7500
questor	Questor	1111130	833346
r#breu01	Breudayael	10000	7500
r#crazy	Crazy Mage	25	18
r#vlis	Vlis'tiara	500	375
r800001	Reingard	20	15
rahvin_r	Rah'vin	1950	1461
rannec1	Necromancer	23	15
rannec2	Necromancer	13	9
rannec3	Bheodin	56	42
rannec4	Necromancer	14	9
rannec5	Necromancer	26	18
rannec6	Necromancer	33	24
rannec7	Necromancer	33	24
rannec8	Necromancer	33	24
rayvon	RayVon	25	18
razak01	Rezak the Arms Master	10	6
rbarmor	William Jyssev	500	375
rcopper	Reise Coppersky	75	54
re_eld	Eldoth	32	24
re_ilona	Ilona	5	3
re_mit	Mit	39	27
reband01	Bandit	87	63
reband02	Bandit	94	69
redw1	Monferion Palas	200	150
redw2	Orlo Ravonar	150	111
redw3	Ekaterina Drosor	350	261
reedle	Reedle	10	6
reeldar	Eldarin	623	465
refigh01	Slaver	128	96
renal	Renal Bloodscalp	183	135
rengaa	Rengaard	20	15
repthf1	Shadow Thief	53	39
repthf2	Shadow Thief	29	21
repthf3	Shadow Thief	36	27
rethie01	Slaver	65	48
rethug01	Thug	85	63
rethug02	Mage	14	9
rethug04	Thug	67	48
reti	Reti	100	75
riatamne	Myrin	45	33
riatgate	Gatesman	87	63
riatmov1	Guardian Mage	30	21
ribald	Ribald	2000	1500
roger	Roger the Fence	26	18
rorca01	Orc Archer	5	3
rorcl01	Orog Leader	370	276
rorcs01	Orog	5	3
rr#kert	Kerith the Bleak	250	186
rr#seli	Selina Shadowstorm	225	168
rr#vend	Venduris	1000	750
rr#vend2	Venduris	1000	750
rufpal1	Ruffian	10	6
rufpal2	Ruffian	5	3
rumar01	Umar	25	18
rylock	Rylock	125	93
ryonn	Ryon	6	3
sacorc01	Gorrek	5	3
sacorc05	Orc	5	3
sacorc10	Orc	5	3
saerk	Saerk Farrahd	455	339
sahzom01	Sea Zombie Lord	40	30
sandrain	Sandrain Durion	391	291
sarah	Sarah	45	33
sarbar01	Pyrgam Aleson	45	33
sarbar02	Bartender	45	33
sarcpt01	Captain Samand	60	45
sargrd10	Fighter	410	306
sargrd11	Fighter	500	375
sarmist	Cold Mistress	75	54
sarvie01	Viekang	405	303
sarvolo	Volo	46	33
sasaki	Sasaki Hashimoto	45	33
sbcust01	Patron	4	3
sbslum01	Nobleman	30	21
sbslum02	Noblewoman	20	15
sbsmess	Messenger	67	48
sbwench	Gracie	5	3
sc#bla	Brinsley Blake	50	36
sc#gt1	Gnome Teamster	50	36
sc#gt2	Gnome Teamster	50	36
sc#ham	Hamlish Thistledown	5	3
sc#hub	Hubelpot	50	36
scbutler	Butler	10	6
scdur	Unger Hilldark	127	93
scook	Cook	4	3
scyarryl	Talon Yarryl	10	6
sd1	Shed	5	3
sd2	Shed	5	3
sd3	Shed	5	3
sellthf	Shadow Thief	25	18
sensmsp2	Orog	5	3
sevdru01	Alatelo De Bonito	17	12
sevpat01	Mencar Pebblecrusher	1000	750
sevpat02	Amon of the Purple Brotherhood	102	75
sevpat03	Pookey	100	75
sevpat04	Smaeluv Orcslicer	100	75
sevpat05	Brennan Risling	320	240
sewerm	Quallo	100	75
sgpedd1	Arkvisti the Wanderer	20	15
shadar	Shadar	445	333
shadedrg	Shadow	20000	15000
shadra01	Thaxll'ssillyia	3299	2472
shadth01	Shadow Thief	39	27
shadth02	Rogue	39	27
shagho02	Dettseh's Ghost	250	186
sharte12	Shar-Teel	49	36
shdwsam2	Zakath	43	30
shdwsam8	Avenger	2348	1761
shop03	Merchant	65	48
shrek	Shrek	6	3
shth03	Kretor	71	51
shth05	Joster	20	15
shthass1	Ama	340	255
shthoff1	Sir Greshal	21	15
sime06	Sime	90	66
sk#enf	Enforcer	100	75
sk#lila	Lilacor	45	33
sk#neht1	Neh'taniel	140	105
sk#neht3	Neh'taniel	140	105
sk#neht5	Neh'taniel	140	105
sk#nym2	Avaritia	45	33
skcorp01	<Invalid Strref -1>	100	75
skcorp02	<Invalid Strref -1>	100	75
slarch1	Slaver Guard	17	12
slaver1	Slaver Guard	45	33
slaver2	Slaver Guard	17	12
slaver3	Slaver Guard	22	15
slaver4	Slaver Guard	13	9
slavet5	Slave Trader	46	33
slguard1	Slaver Guard	14	9
slguard2	Slaver Guard	64	48
slhalf01	Halfling Man	7	3
slhalf02	Halfling Woman	11	6
slmage1	Slaver Wizard	14	9
slmage2	Slaver Wizard	14	9
slmage3	Slaver Wizard	14	9
slshop01	Black Market Thief	9	6
slshop02	Storekeep	7	3
sorced	Sonner	5	3
sorkyst	Sorkyst	2500	1875
starcher	Shadow Thief Archer	29	21
stass1	Shadow Thief Assassin	5	3
stein	Stein	21	15
stguard1	Shadow Thief	30	21
stguard2	Shadow Thief	39	27
stguard3	Shadow Thief	39	27
stoolm1	Townsperson	26	18
stoolm2	Townsperson	26	18
stoolm3	Townsperson	26	18
subru05	Bruce	12	9
subru17	Bruce	12	9
suhess12	Hessa	50	36
sukiss1	Dahlia	10	6
sumeat1	Rojo	10	6
sumeat2	Lowell	10	6
sumeat3	Friddel	10	6
surayah	Surayah	13	9
surly	Surly	65	48
sw2host	Relic Amaunatori +3	45	33
swarden	Warden	2577	1932
t#mdomo	Majordomo	44	33
taarilis	Arilistan	830	621
tadream	an apparition	45	33
tajarmis	Jarmis	162	120
takomt	Komt	90	66
talavan	Warlord Talavan	466	348
talavan2	Warlord Talavan	466	348
talavan3	Warlord Talavan	466	348
talavan4	Warlord Talavan	466	348
talavan5	Talavan's Spy	466	348
talmage1	Battle Mage	5	3
talmage2	Battle Mage	4	3
talmage3	Battle Mage	6	3
talmiss	Mistress Ada	13	9
talmiss2	Mistress Ada	13	9
tanadv02	Adventurer	7	3
tanadv06	Dunbar the Fifth	38	27
tanally1	Fael	40	30
tanner	Rejiek Hidesman	15	9
tantug02	Thug	7	3
tanwiz02	Mage	25	18
tarnor	Tarnor the Hatchetman	173	129
tasold01	Arilistan's soldier	90	66
tasold02	Arilistan's soldier	78	57
tatump	Tump	90	66
taxcoll	Tax Collector	30	21
tazok	Tazok	490	366
tb#lotgw	Ogre Tenant	5	3
tb#lotr1	Lieutenant Beldor	5	3
tb#lotrg	General Argor	5	3
tb#lotro	Orc	5	3
tb#lotrw	Cowled Enforcer	25	18
telanis	Telanis	100	75
telcam1	Cambion	146	108
teltief1	Tiefling	40	30
teltief2	Tiefling	204	153
teltief3	Tiefling	110	81
tenmage1	Mage	7	3
tenmage2	Castle Mage	6	3
tenmage3	Castle Mage	8	6
terl	Terl	9	6
terl02	Terl	9	6
termer04	Mercenary	40	30
terrece	Terrece	20	15
therrin	Therrin	190	141
thief1	Sidge	39	27
thief2	Shadow Thief	32	24
thief3	Shadow Thief	41	30
thief4	Shadow Thief	22	15
thief5	Gorvin	48	36
thief6	Zyntris	36	27
thief7	Anishai	28	21
thief8	Shadow Thief	25	18
thork1	Thorknar	42	30
thork2	Thorknar	42	30
thork3	Thorknar	42	30
thork4	Thorknar	42	30
thorkd1	Ranas	42	30
thorkd2	Ranas	42	30
thorkd3	Ranas	42	30
thorkd4	Ranas	42	30
thraxi	Thraxis Gall	24	18
thumb	The Thumb	50	36
timi15	Timalia	40	30
tknight1	Thayan Knight	300	225
tknight2	Thayan Knight	300	225
tknight3	Thayan Knight	300	225
tobban03	Orc	920	690
tobpar04	Karun the Black	25	18
tomast16	Tomas Tomalson	84	63
tomast19	Tomas Tomalson	102	75
tour2	Mrs. Harrold	5	3
townief1	Townsperson	26	18
townief2	Townsperson	26	18
townief3	Townsperson	26	18
townief4	Townsperson	26	18
townief5	Townsperson	26	18
towniem1	Townsperson	26	18
towniem2	Townsperson	26	18
towniem3	Townsperson	26	18
towniem4	Townsperson	26	18
towniem5	Townsperson	26	18
travin	Travin	38	27
trcut05	Lady Lilith Lurraxol	25	18
trevil01	Lord Khellon Menold	800	600
trfued01	Lady Lilith Lurraxol	25	18
trfued02	Lurraxol Guard	10	6
trfued03	Lurraxol Guard	10	6
trfued04	Lurraxol Guard	10	6
trfued06	Alibakkar Guard	10	6
trfued07	Alibakkar Guard	10	6
trfued08	Alibakkar Guard	10	6
trgrd03	Militia Captain	10	6
trhmer01	Guildmistress Busya	100	75
trple01	Wilfred the Red	435	324
trrak04	Ruhk	6	3
trskin02	Tiris	100	75
trskin03	Rejiek Hidesman	7	3
trskin3b	Rejiek Hidesman	7	3
trskind1	Rejiek Hidesman	7	3
trtavp05	Alenina	5	3
tsama1	Ama	340	255
tsblackl	Black Lily	250	186
tsgrd02	Cowled Enforcer	25	18
tsjettin	Sorkyst's Ettin	150	111
tsjflirt	Lady Arlluvia	30	21
tsjgiant	Sorkyst's Giant	150	111
tsnarlen	Narlen Darkwalk	250	186
tspick1	Nobleman	82	60
tspick2	Noblewoman	50	36
tspick5	Sailor	8	6
tssmugb	Rogue	25	18
tssmugf	Rogue	25	18
tssmugm	Rogue	25	18
tsujath	Tsujatha	200	150
tswench1	Jancie	10	6
ttbelt	Belt	87	63
tuayana	Ayana	25	18
tucaius	Caius	25	18
tuconj	Ghiala	25	18
tuench	Sharia	25	18
tuezek	Ezekiel	25	18
tufire	Genevra	25	18
tuillus	Hazarlich	25	18
tujiri	Jiri	25	18
tujirisl	Sleeping Jiri	25	18
tukimsia	Kym-Sia’U	25	18
tumage5	Kirine	25	18
tumalv	Malvolio	25	18
tumatej	Matej	25	18
tumord	Mordecai	25	18
tuphin	Phineas	25	18
tuphins	Sleeping Phineas	25	18
tutheod	Theodoran	25	18
tuvashon	Vashon	25	18
tuzeira	Zeira	25	18
ubba0133	Bartender	9	6
ubquon	Quoningar	20	15
udardul	Matron Mother Ardulace	3500	2625
uddear02	Uder Mordin	250	186
uddear03	Finderlig	150	111
uddrow10	Nym Khalazza	120	90
udduer01	Carlig	200	150
uddwarf	Insane Dwarf Warrior	87	63
udgith02	Githyanki	98	72
