File	Name	Slot	Script
firamb03	Troll	Slot 584	agrandbr
firamb04	Captain	Slot 592	agrandbr
firamb05	Troll	Slot 584	agrandbr
firarc01	Orc Archer	Slot 592	agrandsh
firban01	Bandit	Slot 608	agrandbr
firban02	Plath Rededge	Slot 608	agrandcl
firban03	Bandit	Slot 600	agrandbr
firban04	Orc	Slot 600	agrandsh
firban05	Orc	Slot 600	agrandbr
fireb1	Firebead Elvenhair	Slot 608	agrandrb
firebe	Firebead Elvenhair	Slot 608	agrandnc
firebead	Elvenhair Firebead	Slot 592	agrandbr
firkra02	Firkraag	Slot 600	agrandrb
firlch01	Fire Lich	Slot 584	agrandrb
firmag01	Conster	Slot 600	agrandrb
firmon01	Banshee	Slot 592	agrandrb
firmon02	Skeleton Warrior	Slot 592	agrandbr
firmon03	Director	Slot 592	agrandea
firmon04	Revenant	Slot 600	agrandbr
firorc01	Chieftain DigDag	Slot 592	agrandbr
firorc02	Derg the Orc	Slot 584	agrandrb
firorc03	Flaylan the Orc	Slot 592	agrandrb
firrak01	Ruhk Transmuter	Slot 584	agrandrp
firrak02	Ruhk	Slot 584	agrandbr
firtrl01	Troll Cook	Slot 600	agrandrb
firwlf01	Grancor	Slot 600	agrandbr
firwlf02	Falik	Slot 584	agrandbr
firwra01	Greater Wraith	Slot 608	agrandbr
fitz	FitzChivalry Farseer	Slot 592	agrandbr
flamc7	Flaming Fist Mercenary	Slot 608	agrandbr
flan	Flan Brel	Slot 592	agrandrb
fleeinv1	Barl	Slot 592	agrandrb
fleeinv2	Barl	Slot 592	agrandrb
fleeinv3	Barl	Slot 592	agrandrb
fleeques	Traveller	Slot 592	agrandrb
flyfgt01	Shadow Thief	Slot 600	agrandbr
flyfgt02	Shadow Thief Guard	Slot 600	agrandbr
flyfgt03	Shadow Thief Archer	Slot 600	agrandbr
flyfgt04	Shadow Thief Inquisitor	Slot 608	agrandrb
fmcapvil	Captive Villager	Slot 592	agrandbr
franco	Franco	Slot 608	agrandbr
frdeath	Galangar	Slot 600	agrandrb
frosinvi	Barl	Slot 592	agrandrg
frost01	Frost Giant	Slot 592	agrandbr
frostgg	Greater Frost Giant	Slot 592	agrandbr
frostgi	Frost Giant	Slot 592	agrandbr
frostgi2	Frost Giant	Slot 592	agrandrb
frostgi3	Frost Giant	Slot 592	agrandnc
frostgi4	Frost Giant	Slot 592	agrandbr
frostham	Garth Frosthammer	Slot 592	agrandrb
fsdragon	Dragon	Slot 600	agrandbr
fsgibb	Gibberling	Slot 592	agrandrb
fsgobl	Goblin	Slot 592	agrandrp
fshorde1	Goblin	Slot 608	agrandbr
fshorde2	Goblin	Slot 600	agrandrb
fshorde3	Goblin	Slot 608	agrandrb
fshorde4	Orc	Slot 600	agrandbr
fshorde5	Orc Priest	Slot 608	agrandbr
fshorde6	Orc Archer	Slot 600	agrandrp
fsmage01	Mage	Slot 584	agrandrb
fsmage02	Mage	Slot 584	agrandrb
fsmage03	Mage	Slot 584	agrandrb
fsmage04	Mage	Slot 584	agrandbr
fsmumm	Mummy	Slot 592	agrandbr
fsmumm2	Mummy	Slot 592	agrandbr
fsmumm3	Mummy	Slot 592	agrandrb
fsridd	Imp	Slot 592	agrandnc
fsskel	Skeleton	Slot 592	agrandrb
fsspir1	Spirit Warrior	Slot 584	agrandbr
fsspir2	Helmite Ghost	Slot 600	agrandbr
fsspir3	Spirit Panel	Slot 592	agrandrb
fsspira	Helmite Ghost	Slot 592	agrandbr
fsspirb	Helmite Ghost	Slot 592	agrandbr
fsspirc	Helmite Ghost	Slot 592	agrandrb
ftanar	Glabrezu	Slot 592	agrandbr
fuagnon	Hurgan Stoneblade	Slot 600	agrandbr
fulady	Lady Tandolan of Um	Slot 608	agrandbr
fumin	Minister Adelain	Slot 608	agrandrg
fwbirina	Birinar	Slot 592	agrandbr
fwjassy	Jasper St.Baird	Slot 592	agrandbr
fwlove6	Eila	Slot 592	agrandea
fwrlaash	Rlaash	Slot 592	agrandrb
fwsw1h12	Aataqah	Slot 592	agrandrb
fyual	Greater Yuan-Ti Leader	Slot 592	agrandrb
fyuam	Greater Yuan-Ti Mage	Slot 592	agrandrb
g3ari	Ari	Slot 584	agrandcl
g3bev	Lady Bev	Slot 600	agrandrb
g3bigrob	Robukin Rockskull	Slot 592	agrandea
g3corr	Corradun	Slot 592	agrandbr
g3dewn	Dewny	Slot 592	agrandbr
g3drini	Drini	Slot 592	agrandbr
g3fitz	Allanya Danc	Slot 592	agrandrb
g3g1201	Number One	Slot 608	agrandbr
g3g1202	Number Two	Slot 608	agrandbr
g3g1203	Number Three	Slot 608	agrandrb
g3g1204	Number Four	Slot 608	agrandbr
g3g1205	Number Five	Slot 608	agrandrb
g3g1206	Number Six	Slot 608	agrandbr
g3g1207	Number Seven	Slot 608	agrandrb
g3g1208	Number Eight	Slot 608	agrandrb
g3g1209	Number Nine	Slot 608	agrandbr
g3g1210	Number Ten	Slot 608	agrandrb
g3g1211	Number Eleven	Slot 608	agrandbr
g3g1212	Number Twelve	Slot 608	agrandrb
g3grim	Kalen Grimm	Slot 592	agrandrg
g3jps	Jacobus P. Sanderick	Slot 592	agrandbr
g3kebodi	Kebodi	Slot 592	agrandrp
g3laur	Laurlana	Slot 592	agrandrb
g3moniq	Monique	Slot 592	agrandrb
g3sailr1	Sailor	Slot 592	agrandrb
g3sailr2	Sailor	Slot 592	agrandrp
g3sailr3	Sailor	Slot 592	agrandrb
g3scam	Scam	Slot 592	agrandbr
g3suleci	Sir Suleci	Slot 592	agrandrb
gaal01	Gaal	Slot 608	agrandnc
gaal02	Gaal	Slot 600	agrandrb
gaelan	Gaelan Bayle	Slot 584	agrandrb
gaelan2	Gaelan Bayle	Slot 600	agrandrb
gaidan	Gaidan	Slot 592	agrandrg
gaidan2	Gaidan	Slot 592	agrandbr
gaius	Gaius	Slot 600	agrandrb
galan1	Galan	Slot 592	agrandcl
galkin	Galkin	Slot 592	agrandnc
gall	Gallchobhair	Slot 600	agrandbr
galryn	Galryn	Slot 584	agrandbr
gantol	Gantolandon	Slot 592	agrandrb
garem	Garem	Slot 592	agrandbr
garg	Gargoyle	Slot 608	agrandrg
garkid01	Iltha	Slot 592	agrandsw
garkid02	Taar	Slot 592	agrandlx
garlich1	Elemental Lich	Slot 584	agrandbr
garlich2	Elemental Lich	Slot 584	agrandrb
garmari1	Marilith Lord	Slot 592	agrandrb
garmari2	Marilith Lord	Slot 592	agrandrb
garmari3	Cambion Lord	Slot 592	agrandrb
garmari4	Cambion Lord	Slot 592	agrandrb
garock	Garock	Slot 592	agrandnc
garrax	Lord Garrax	Slot 592	agrandrb
garrax2	Lord Garrax	Slot 600	agrandbr
garrax3	Lord Garrax	Slot 592	agrandrb
garrax4	Lord Garrax	Slot 600	agrandbr
garrax5	Lord Garrax	Slot 600	agrandrb
garren	Garren Windspear	Slot 608	agrandrb
garron	Garron	Slot 600	agrandrb
garserv1	Servant of the Eye	Slot 592	agrandrb
garserv2	Servant of the Eye	Slot 592	agrandrb
garserv3	Servant of the Eye	Slot 584	agrandbr
garserv4	Servant of the Eye	Slot 592	agrandsw
garswrd1	Garrax's Sword	Slot 592	agrandcl
garswrd2	Garrax's Sword	Slot 592	agrandbr
gaspar	Gaspar	Slot 592	agrandbr
gaylan	Gaylan Bael	Slot 592	agrandbr
gazib	The Great Gazib	Slot 600	agrandrb
gbband1a	Bandit	Slot 608	agrandlx
gbband1b	Bandit	Slot 608	agrandbr
gbene01a	Fighter	Slot 600	agrandsr
gbene01b	Fighter	Slot 600	agrandbr
gbene01c	Fighter / Mage	Slot 600	agrandrb
gbene01d	Cleric	Slot 600	agrandbr
gbene01e	Assassin	Slot 600	agrandrb
gbene01f	Necromancer	Slot 600	agrandrb
gbene02a	Fighter	Slot 600	agrandrg
gbene02b	Berserker	Slot 600	agrandrb
gbene02c	Wizard Slayer	Slot 600	agrandrg
gbene02d	Shadow Druid	Slot 600	agrandbr
gbene02e	Bounty Hunter	Slot 600	agrandcl
gbene02f	Conjurer	Slot 600	agrandnc
gbhrep1a	Assassin	Slot 608	agrandbr
gbhrep1c	Fighter	Slot 608	agrandrb
gblich01	Lich	Slot 600	agrandbr
gcmdwar1	Asgrim the Insane	Slot 584	agrandbr
gdruid	Druid	Slot 592	agrandbr
gelarith	Geralith	Slot 592	agrandrb
gellan	Gellana Mirrorshade	Slot 608	agrandbr
gelugeon	Gelugon	Slot 592	agrandbr
gelugon1	Gelugon	Slot 584	agrandrb
gencali1	Genie	Slot 592	agrandbr
gencali2	Genie	Slot 592	agrandbr
gendao01	Dao	Slot 592	agrandsh
gendji01	Djinni	Slot 592	agrandbr
gendjn01	Djinni	Slot 592	agrandbr
genefn01	Efreeti	Slot 592	agrandbr
genefr01	Efreeti	Slot 592	agrandbr
genie01	Genie	Slot 592	agrandbr
genie02	Genie	Slot 592	agrandbr
genie03	Genie	Slot 592	agrandrb
genie04	Genie	Slot 592	agrandrb
genie1	Genie	Slot 600	agrandrb
genietrv	Genie	Slot 600	agrandrb
genmag01	Mage	Slot 600	agrandrb
genth01	Thief	Slot 592	agrandbr
genth02	Thief	Slot 592	agrandbr
genthf01	Thug	Slot 592	agrandbr
gentmg01	Thief	Slot 600	agrandea
gereth	Gereth	Slot 600	agrandrb
gerth	Gerth	Slot 592	agrandrb
gflans	Andy	Slot 592	agrandsw
ggiantf1	Greater Fire Giant	Slot 592	agrandrb
ggiantf2	Greater Fire Giant	Slot 592	agrandrb
ggiantf3	Greater Fire Giant	Slot 592	agrandrb
ggiantfr	Greater Fire Giant	Slot 592	agrandrb
gglab	Greater Glabrezu	Slot 592	agrandlx
ghast01	Ghast	Slot 600	agrandbr
ghastf01	Fell Ghast	Slot 584	agrandrb
ghendia	Ghendia	Slot 584	agrandrb
ghereg	Ghereg	Slot 592	agrandbr
ghogr01	Greater Ghoul	Slot 592	agrandbr
gholor01	Ghoul Lord	Slot 592	agrandbr
gholske1	Gholim's Skeleton	Slot 592	agrandrb
ghoul01	Ghoul	Slot 592	agrandbr
giafir01	Fire Giant	Slot 592	agrandrb
giantf01	Fire Giant	Slot 592	agrandrb
giantfr	Fire Giant	Slot 592	agrandbr
gibber	Gibberling	Slot 592	agrandnc
gibber01	Gibberling	Slot 592	agrandrb
gibber2	Diseased Gibberling	Slot 592	agrandsr
gibbmout	Gibberling Mother	Slot 592	agrandbr
gibmut01	Mutated Gibberling	Slot 592	agrandbr
gith01	Warrior	Slot 592	agrandrb
gith02	Knight	Slot 592	agrandlx
gith03	Anti-Paladin	Slot 592	agrandbr
gith04	Gish	Slot 592	agrandrb
gith05	Warlock	Slot 592	agrandbr
gith06	Captain	Slot 592	agrandbr
glad1	Gladiator	Slot 592	agrandrb
glad2	Gladiator	Slot 592	agrandea
gladia01	Gatekeeper	Slot 600	agrandrb
glbear	Troll	Slot 592	agrandbr
glourkis	Glourkist	Slot 592	agrandrb
gmage14	Mekrath	Slot 584	agrandrb
gmayor	Theshal	Slot 592	agrandrb
gnlcap01	Gnoll Captain	Slot 592	agrandbr
gnleli01	Gnoll Elite	Slot 592	agrandbr
gnlfli01	Flind	Slot 592	agrandrb
gnlsla01	Gnoll Slasher	Slot 592	agrandrb
gnlvet01	Gnoll Veteran	Slot 592	agrandrb
gnlwar01	Gnoll	Slot 592	agrandbr
gnoll01	Gnoll	Slot 592	agrandea
gnoll02	Gnoll	Slot 592	agrandbr
gnoll03	Gnoll	Slot 592	agrandrb
gnoll3	Gnoll	Slot 592	agrandbr
gnollhp1	Gnoll	Slot 592	agrandrb
goblinsp	Crazy Goblin Marshal	Slot 592	agrandrb
godabis1	Abishai Almu'd	Slot 592	agrandrb
godabis2	Abishai Mala'nid	Slot 592	agrandbr
godadv1	Possessed Fighter	Slot 584	agrandrb
godadv2	Possessed Fighter	Slot 584	agrandrb
godadv3	Possessed Monk	Slot 592	agrandrb
godadv4	Possessed Thief	Slot 584	agrandrb
godadv5	Possessed Wizard	Slot 592	agrandrg
godadv6	Possessed Cleric	Slot 592	agrandrb
godaqua	Aqua Dragon	Slot 592	agrandbr
godblue	Blue Dragon	Slot 592	agrandbr
goddemi1	Demi-Lich	Slot 592	agrandbr
goddemi2	Demi-Lich	Slot 592	agrandrb
goddoom1	Prince of Doom	Slot 592	agrandlx
goddoom2	Doom Knight	Slot 592	agrandbr
goddoom3	Doom Knight	Slot 592	agrandrb
goddoom4	Doom Knight	Slot 592	agrandbr
godeld1	Elder Orb	Slot 592	agrandbr
godeld2	Elder Orb	Slot 592	agrandrb
godeld3	Elder Orb	Slot 592	agrandbr
godeld4	Elder Orb	Slot 592	agrandbr
godhalf1	Mad Gnome	Slot 584	agrandbr
godlich1	Greater Lich	Slot 584	agrandbr
godlich2	Elemental Lich	Slot 584	agrandrb
godmad1	Madman	Slot 592	agrandbr
godmari1	Marilith Lord	Slot 592	agrandbr
godmari2	Cambion Lord	Slot 592	agrandrb
godmari3	Glabrezu Lord	Slot 592	agrandbr
godmari4	Tanar'ri Lord	Slot 592	agrandbr
godmiva1	Vampiric Illithid	Slot 592	agrandrg
godserv1	Servant of the Eye	Slot 592	agrandrb
godserv2	Servant of the Eye	Slot 592	agrandrb
godskel1	Strong Skeleton	Slot 592	agrandrb
godskel2	Strong Skeleton	Slot 592	agrandbr
godskel3	Strong Skeleton	Slot 592	agrandbr
godtrol1	Desert Troll	Slot 592	agrandbr
godtrol2	Desert Troll	Slot 592	agrandrb
godtrol3	Spirit Troll	Slot 592	agrandrb
godtrol4	Spirit Troll	Slot 592	agrandrb
godunk1	Unknown	Slot 592	agrandbr
godunk2	Unknown	Slot 592	agrandbr
godunk3	Unknown	Slot 592	agrandbr
godunk4	Unknown	Slot 592	agrandbr
godwolf1	Fierce Wolfwere	Slot 584	agrandrp
godwolf2	Fierce Wolfwere	Slot 584	agrandrb
godxva1	Xvart	Slot 592	agrandsh
godxva2	Xvart	Slot 592	agrandrb
godxva3	Xvart	Slot 592	agrandbr
golbon01	Skeleton Warrior	Slot 592	agrandsr
gonce	Meredath	Slot 592	agrandrb
gondoh	Gondo Hyman	Slot 592	agrandbr
goralu01	Alu-Fiend	Slot 600	agrandrb
gorapr	Apprentice	Slot 592	agrandlx
gorarc	Archivist	Slot 592	agrandrb
gorbat1	Ka'rashur	Slot 584	agrandbr
gorbat2	Erinyes	Slot 600	agrandrb
gorbat3	Cornugon	Slot 600	agrandbr
gorbat4	Imp	Slot 600	agrandbr
gorbat5	Bone Fiend	Slot 600	agrandrb
gorcamb	Aesgareth	Slot 584	agrandrb
gorcamb2	Tiefling	Slot 592	agrandrb
gorcamb3	Tiefling	Slot 592	agrandbr
gorcamb4	Tiefling	Slot 592	agrandbr
gorcamb5	Tiefling	Slot 592	agrandnc
gorcar	Carston	Slot 592	agrandbr
gorch	Gorch	Slot 608	agrandbr
gorchr	Chromatic Demon	Slot 592	agrandbr
gordeck5	Assassin	Slot 584	agrandrp
gordeck6	Assassin	Slot 584	agrandbr
gordeck7	Assassin	Slot 584	agrandnc
gordeck8	Assassin	Slot 584	agrandbr
gordeck9	Assassin	Slot 584	agrandrb
gordecka	Assassin	Slot 584	agrandrg
gordeckf	Fighter	Slot 592	agrandbr
gordem	Baalor	Slot 600	agrandbr
gordem2	Velithuu	Slot 592	agrandbr
gordemc1	Baalor	Slot 592	agrandrb
gorf	Gorf the Squisher	Slot 592	agrandsr
gorf03	Gorf the Squisher	Slot 592	agrandrg
gorfirg	Fire Giant	Slot 592	agrandrb
gorgit	Captain	Slot 608	agrandbr
gorgitc1	Githyanki	Slot 592	agrandrb
gorgitc2	Githyanki	Slot 592	agrandbr
gorgitc3	Githyanki	Slot 592	agrandrb
gorgitc4	Githyanki	Slot 592	agrandrb
gorgith2	Githyanki	Slot 600	agrandbr
gorgua01	Aurumach Rilmani	Slot 592	agrandrb
gorgua02	Ferrumach Rilmani	Slot 592	agrandbr
gorgua03	Guardian Spirit	Slot 592	agrandbr
gorgua04	Guardian Spirit	Slot 584	agrandbr
gorgua05	Guardian Spirit	Slot 592	agrandbr
gorimp01	Imp	Slot 592	agrandbr
gorion	Gorion	Slot 584	agrandrb
gorion3	Gorion	Slot 592	agrandrb
gorje	Gorje Hilldark	Slot 592	agrandnc
gorkuo01	Kuo-Toa Warrior	Slot 600	agrandbr
gorkuo02	Kuo-Toa Archer	Slot 600	agrandrb
gorkuo03	Kuo-Toa Priest	Slot 608	agrandrb
gorkuo04	Kuo-Toa Captain	Slot 584	agrandrb
gorkuo05	Kuo-Toa Whip	Slot 584	agrandbr
gorlic01	Azamantes	Slot 592	agrandsr
gormim01	Killer Mimic	Slot 592	agrandrb
gormim02	Killer Mimic	Slot 592	agrandbr
gormim03	Killer Mimic	Slot 592	agrandbr
gormim04	Killer Mimic	Slot 592	agrandbr
gorminc1	Mind Flayer	Slot 592	agrandbr
gorminc2	Mind Flayer	Slot 592	agrandbr
gorminc3	Mind Flayer	Slot 592	agrandrb
gorminc4	Mind Flayer	Slot 592	agrandbr
gormind	Ulitharid	Slot 592	agrandbr
gororc01	Orc	Slot 592	agrandbr
gororc02	Orc Archer	Slot 600	agrandrb
gororc03	Orc Mage	Slot 592	agrandbr
gorpri1	Priest	Slot 592	agrandbr
gorsal	Saladrex	Slot 584	agrandrb
gorsku01	Flaming Skull	Slot 592	agrandbr
gorsta01	Statue	Slot 600	agrandrb
gorsta02	Statue	Slot 600	agrandbr
gorsta03	Statue	Slot 600	agrandbr
gorsta04	Statue	Slot 600	agrandbr
gorsta05	Statue	Slot 600	agrandbr
gorsta06	Statue	Slot 600	agrandrb
gorsta07	Statue	Slot 600	agrandrb
gorsta09	Statue	Slot 600	agrandrb
gorsta10	Statue	Slot 600	agrandbr
gorsta11	Statue	Slot 600	agrandrb
gorsta12	Statue	Slot 600	agrandea
gorstalk	Guardian of Air	Slot 592	agrandrb
gorsuc01	Succubus	Slot 608	agrandbr
gortan1	Tahazzar	Slot 584	agrandrb
gortan2	Succubus	Slot 600	agrandbr
gortan3	Yochlol	Slot 600	agrandrb
gortan4	Glabrezu	Slot 600	agrandbr
gortan5	Quasit	Slot 600	agrandbr
gortan6	Maurezhi	Slot 600	agrandbr
gorwom01	Nalmissra	Slot 600	agrandnc
gorwom02	The Huntress	Slot 592	agrandrb
gorwom03	Y'tossi	Slot 600	agrandbr
gorwom04	Ameralis Zauviir	Slot 592	agrandbr
gorwom05	Hive Mother	Slot 592	agrandrb
gorwom06	Xei Win Toh	Slot 592	agrandrb
gorwowe	Wolfwere	Slot 584	agrandbr
govan2	Govan Duvaine	Slot 600	agrandbr
govan3	Govan Duvaine	Slot 600	agrandrb
govbud	Bud	Slot 592	agrandbr
govdude	Dude	Slot 592	agrandbr
govwau01	Priest of Waukeen	Slot 592	agrandrb
gpfam1	Pitch	Slot 592	agrandrb
gpfight1	Boz	Slot 600	agrandrb
gphil02	Philosopher	Slot 592	agrandbr
gphil03	Huntley	Slot 592	agrandbr
gpmage1	N'ashtar	Slot 600	agrandlx
gppri1	Chandrilla	Slot 600	agrandrb
gpsimb	Simbja	Slot 600	agrandrb
gpthief1	Damien	Slot 592	agrandrb
grae	Grae	Slot 592	agrandrb
graeme	Graeme	Slot 600	agrandbr
grayfoot	Pip Grayfoot	Slot 600	agrandbr
grayfot2	Pip Grayfoot	Slot 600	agrandrb
grazinvi	Barl	Slot 592	agrandlx
grazzt01	Graz'zt	Slot 592	agrandrb
grazzt02	Graz'zt	Slot 592	agrandbr
grean	Greandal	Slot 592	agrandrb
greendrg	Andaxll'layah	Slot 592	agrandbr
gregdemi	Gregorraxx	Slot 592	agrandrp
grenabi1	Green Abishai	Slot 592	agrandrb
greyhand	Greyhand	Slot 600	agrandrb
grimsto	Anamuns	Slot 592	agrandrg
gromg01	Il-Khan Soldier	Slot 600	agrandbr
gromg02	Il-Khan Soldier	Slot 584	agrandbr
gromg03	Il-Khan Soldier	Slot 592	agrandrb
gromg04	Il-Khan Soldier	Slot 584	agrandbr
gromg05	Il-Khan Battle Mage	Slot 592	agrandbr
gromg06	Il-Khan Soldier	Slot 584	agrandrb
gromg07	Il-Khan Soldier	Slot 584	agrandbr
gromg08	Karun the Black	Slot 592	agrandbr
gromg09	Eler Had	Slot 592	agrandrb
gromg10	Berena Elkan	Slot 592	agrandbr
gromg11	Il-Khan Soldier	Slot 584	agrandbr
gromg12	Il-Khan Soldier	Slot 584	agrandrb
gromg13	Il-Khan Battle Mage	Slot 584	agrandsh
gromg14	Il-Khan Soldier	Slot 584	agrandbr
grommin	Halbazzer Drin	Slot 592	agrandrb
gromnir	Gromnir Il-Khan	Slot 592	agrandrb
gron	Theshal	Slot 592	agrandrb
grreven	Revenant	Slot 592	agrandnc
grskel1	Skeleton Warrior	Slot 584	agrandbr
grskel2	Skeleton Warrior	Slot 592	agrandbr
grtomb01	Skeleton Warrior	Slot 592	agrandbr
grunt1	Mercenary	Slot 592	agrandbr
grunt2	Mercenary	Slot 592	agrandbr
grunt3	Mercenary	Slot 592	agrandbr
grvlch01	Lich	Slot 600	agrandrb
gtcit1	Ghoul	Slot 592	agrandrb
gtcit2	Ghoul	Slot 592	agrandrb
gtcit3	Zombie	Slot 592	agrandrb
gtcit4	Zombie	Slot 592	agrandrb
gtcit5	Zombie	Slot 592	agrandbr
guard1	Bouncer	Slot 600	agrandrb
guard2	Copper Coronet Guard	Slot 608	agrandbr
guard4	Copper Coronet Guard	Slot 584	agrandbr
guard5	Copper Coronet Guard	Slot 584	agrandbr
guard6	Copper Coronet Guard	Slot 584	agrandbr
guard7	Copper Coronet Guard	Slot 584	agrandrb
guareye1	Guardian of the Eye	Slot 592	agrandbr
guareye2	Guardian of the Eye	Slot 592	agrandbr
guareye3	Guardian of the Eye	Slot 592	agrandrb
guareye4	Guardian of the Eye	Slot 592	agrandrb
guareye5	Guardian of the Eye	Slot 592	agrandrb
guareye6	Guardian of the Eye	Slot 592	agrandbr
guasold1	Soldier	Slot 592	agrandbr
guasold2	Soldier	Slot 592	agrandrb
guasold3	Soldier	Slot 592	agrandrb
guasold4	Soldier	Slot 592	agrandrb
gunshain	Gunshain	Slot 592	agrandrb
gurien	Gurien	Slot 592	agrandbr
gus	Brother Gus	Slot 592	agrandcl
gzombie	I had some more questions about Kuldahar.	Slot 592	agrandrb
habib	Habib	Slot 592	agrandbr
habib2	Habib	Slot 592	agrandea
habrega	Chief Inspector Brega	Slot 600	agrandrb
hacton	Acton Balthis	Slot 608	agrandbr
hactong	Amnish Bodyguard	Slot 608	agrandrb
haegan	Captain Haegan	Slot 600	agrandbr
haguar01	Arresting Officer	Slot 600	agrandbr
haguar02	Arresting Soldier	Slot 600	agrandrb
hajanos	Janos	Slot 592	agrandrp
halbaz	Halbazzer Drin	Slot 600	agrandrb
halfmiri	Dead Halfling Messenger	Slot 592	agrandbr
hamara1	Aragon	Slot 592	agrandrb
hamara2	Aragon	Slot 592	agrandnc
hamara3	Aragon	Slot 592	agrandrb
hamek	Mekrath	Slot 600	agrandrg
hamjen1	Jenave	Slot 592	agrandbr
hamjen2	Jenave	Slot 592	agrandsr
hamjen3	Jenave	Slot 592	agrandrb
hamman1	Manev	Slot 592	agrandrb
hamman2	Manev	Slot 592	agrandrb
hamman3	Manev	Slot 592	agrandrb
hammhand	Hammerhand	Slot 592	agrandrb
hammr1	Haman	Slot 592	agrandrb
hammr2	Haman	Slot 592	agrandrp
hammr3	Haman	Slot 592	agrandrb
hammr4	Haman	Slot 592	agrandrb
hammr5	Haman	Slot 592	agrandbr
hamolg1	Olga	Slot 592	agrandrb
hamolg2	Olga	Slot 592	agrandrb
hamolg3	Olga	Slot 592	agrandbr
hamrob1	Rob	Slot 584	agrandrb
hamrob2	Rob	Slot 584	agrandbr
hamrob3	Rob	Slot 584	agrandbr
hands	Hands	Slot 592	agrandrb
haquat	Quataris	Slot 608	agrandrg
harpass1	Lucette	Slot 600	agrandbr
harpass2	Lucette	Slot 592	agrandbr
harpatt1	Harper	Slot 592	agrandsh
harpatt2	Harper	Slot 592	agrandbr
harpatt3	Harper	Slot 592	agrandbr
hauglid	Avenger	Slot 592	agrandbr
hdragred	Dragon	Slot 584	agrandea
hdragsil	Dragon	Slot 600	agrandrb
heartg1	Knight of the Order	Slot 600	agrandbr
heartg2	Knight of the Order	Slot 600	agrandbr
heartg3	Sir Zarath	Slot 608	agrandrb
heartg4	Sir Mardus	Slot 608	agrandbr
heartg5	Sir Donalus	Slot 608	agrandrb
hedan	Hedan	Slot 592	agrandrb
hedorc1	Orc	Slot 592	agrandcl
hedorc2	Orc	Slot 592	agrandrb
hedorc3	Orc	Slot 592	agrandbr
hedorc4	Orc	Slot 592	agrandrb
hedorc5	Orc	Slot 592	agrandrb
hedorc6	Orc	Slot 592	agrandrb
hedwau1	Priest of Waukeen	Slot 592	agrandrp
heldem1	Marilith	Slot 584	agrandrb
heldem2	Marilith	Slot 584	agrandbr
heldem3	Pit Fiend	Slot 600	agrandrb
heldem4	Pit Fiend	Slot 600	agrandrb
heldem5	Crec'tur	Slot 600	agrandrb
hellbeh1	Beholder	Slot 600	agrandrb
hellbeh2	Beholder	Slot 600	agrandbr
hellfear	Fear	Slot 600	agrandbr
hellgen	Enslaved Genie	Slot 608	agrandrb
hellgree	Greed	Slot 600	agrandbr
hellprid	Pride	Slot 592	agrandbr
hellsare	Wraith Sarevok	Slot 600	agrandbr
hellself	Selfishness	Slot 600	agrandbr
hellslay	Slayer	Slot 600	agrandcl
helmbyr	Acolyte Byron	Slot 608	agrandbr
helmkni1	Shield Knight	Slot 600	agrandbr
helmpr	Sir Lothtyran	Slot 592	agrandbr
hendak	Hendak	Slot 584	agrandrb
henman	Henman	Slot 592	agrandbr
henvis	Henvis	Slot 600	agrandbr
hephas	Hephaestus	Slot 600	agrandrb
hephas2	Hephaestus	Slot 592	agrandrb
hermit	Hermit	Slot 592	agrandbr
hgber01	Berenn	Slot 600	agrandnc
hgmag01	Fire Giant Mage	Slot 600	agrandrb
hgmag02	Fire Giant Mage	Slot 600	agrandea
hgmis01	Vampiric Wraith	Slot 600	agrandrb
hgmis02	Swamp Horror	Slot 592	agrandrb
hgnya01	Nyalee	Slot 592	agrandrb
hgskl01	Skeleton Cleric	Slot 600	agrandrb
hgskl02	Skeleton Assassin	Slot 584	agrandbr
hgskl03	Skeleton Mage	Slot 592	agrandrb
hgskl04	Skeleton Warrior	Slot 592	agrandrb
hgsku01	Flaming Skull	Slot 592	agrandbr
hgslv01	Slave Woman	Slot 592	agrandcl
hgtrl01	Fire Troll	Slot 600	agrandrb
hgtrl02	Fire Troll	Slot 600	agrandrb
hgwar01	Fire Giant	Slot 592	agrandbr
hgwar02	Elite Fire Giant	Slot 592	agrandrb
hgwra01	Gorion	Slot 592	agrandrb
hgwra02	Devil Shade	Slot 592	agrandbr
hgwra03	Devil Shade	Slot 592	agrandbr
hhealer	Hasuno	Slot 592	agrandea
hidden	Hidden	Slot 592	agrandbr
highbapt	The High Baptist	Slot 592	agrandbr
highritu	The High Ritualist	Slot 592	agrandrb
highsumm	The High Summoner	Slot 592	agrandrb
hightort	The High Torturer	Slot 592	agrandrb
hildreth	Hildreth Highhammer	Slot 592	agrandrb
hillfro1	Frost Giant	Slot 592	agrandbr
hillfro2	Frost Giant	Slot 592	agrandlx
hillfro3	Frost Giant	Slot 592	agrandbr
histach1	Histachii	Slot 592	agrandbr
histach2	Histachii	Slot 592	agrandrb
histach3	Histachii	Slot 592	agrandlx
histach4	Histachii	Slot 592	agrandbr
histach5	Histachii	Slot 592	agrandbr
histach6	Histachii	Slot 592	agrandrb
histach7	Histachii	Slot 592	agrandbr
histach8	Histachii	Slot 592	agrandrb
histachi	Histachii	Slot 592	agrandbr
hitomi	Hitomi Nakanishi	Slot 592	agrandrb
hivemoth	Hive Mother	Slot 592	agrandbr
